DOWLKNUM,ACCESS.avg.ann.gdd,GFDL.avg.ann.gdd,IPSL.avg.ann.gdd,MIROC5.avg.ann.gdd,MRI.avg.ann.gdd,UTMX,UTMY,LON,LAT
27016000,2527.794723852276,2340.213133869352,2522.429977577014,2661.1329671732115,2338.2758579681963,456036.4519,4981877.481,-93.55769785,44.98897994
27017600,2409.7554206770324,2231.4202091854227,2410.6561346533504,2537.2816298327966,2234.6816366956796,448815.4909,4986499.159,-93.6497638,45.03009717
27018100,2456.31400273162,2277.759001389744,2460.126601678782,2587.019399314834,2280.1675547027894,446298.9464,4976966.187,-93.6806916,44.94410172
27018200,2513.313155183874,2333.736541247938,2517.0417632655103,2644.5727033018848,2335.471169729464,446751.4773,4975741.181,-93.67482673,44.93310899
27018600,2599.0204170955317,2431.7191889648125,2611.4721899519873,2740.024794747621,2442.6931154132085,441467.0802,4971497.597,-93.7413001,44.89449585
27018800,2507.1250257249553,2333.4956134004588,2513.3590810862543,2644.59949474891,2343.0566277506896,442915.8451,4987214.079,-93.72473262,45.03608164
27019101,2432.0392472341828,2256.612736404429,2437.2789604621075,2561.902444374492,2258.502539629898,445668.572,4990708.434,-93.69016518,45.06775142
27019102,2432.0392472341828,2256.612736404429,2437.2789604621075,2561.902444374492,2258.502539629898,447556.8013,4989703.924,-93.66607589,45.05885204
27019200,2461.9473596563994,2284.008389732613,2463.9910596110526,2594.9922244845625,2288.049028453613,441575.5256,4990431.648,-93.74212217,45.06493403
27068300,2568.996760746638,2385.9499907960035,2570.011705004634,2708.884991530625,2388.388150175982,480274.036,4971094.337,-93.24981637,44.89299835
27071100,2510.1851397701084,2327.4260229278525,2509.0028617523644,2644.6939440009037,2330.8071655797658,469335.8538,4979676.276,-93.38885959,44.96986448
27073400,2479.0171786507344,2293.056041276626,2473.8323269020525,2611.098881291466,2297.7091332464342,466418.1019,4979524.679,-93.42584925,44.96836787
29002500,2032.1769815996945,1896.39665554631,2037.2287440757443,2136.8760016486954,1875.89852696244,365394.731,5204181.422,-94.76980163,46.97747805
