DOWLKNUM,UTMX,UTMY,LON,LAT,mean.gdd_wtr_10c,ACCESS.avg.ann.gdd,MIROC5.avg.ann.gdd,IPSL.avg.ann.gdd,GFDL.avg.ann.gdd,MRI.avg.ann.gdd
7005300,434827.4838,4896424.197,-93.81588158,44.21813051,2070.374698,2086.412928,2117.025699,2070.65949,2099.475803,1963.362219
7005400,433248.5622,4895737.786,-93.83555834,44.21180842,1969.958399,1974.068045,2003.390328,1955.452406,1981.388226,1850.028706
7007900,417777.2175,4857511.654,-94.02325236,43.86611618,1945.207552,2057.564518,2079.53799,2037.805886,2051.056608,1914.777653
7009800,403711.9553,4884727.433,-94.20319688,44.10939919,2077.442394,2202.19665,2225.709542,2184.19948,2198.800644,2066.582914
8002600,371066.814,4888695.619,-94.61195575,44.14008857,1996.794576,2052.903444,2083.99579,2037.039607,2051.136154,1926.787834
8004500,361851.7715,4907456.409,-94.73205886,44.30723449,2045.665033,1990.025481,2012.109762,1965.761309,1992.252255,1863.497835
9004100,518606.6317,5143831.586,-92.7577428,46.44779979,1673.279216,1582.529278,1600.448097,1609.9765400000001,1601.110533,1491.191731
10000200,458766.2128,4964838.5,-93.52168161,44.83576415,1949.313349,2025.001469,2055.532092,2023.41931,2041.551437,1911.274695
10000600,458129.278,4969419.185,-93.53011783,44.87696132,1913.247754,2026.1639950000001,2057.245834,2027.62685,2040.160204,1912.75037
10000700,455808.8316,4969527.077,-93.55950465,44.87779239,1954.503531,2069.576014,2098.096183,2069.360301,2081.613274,1951.734293
10001100,450798.73,4969235.101,-93.62290566,44.87483577,1960.653676,2037.807655,2069.184466,2036.816944,2059.005501,1925.527222
10001200,455777.7334,4968803.557,-93.55983521,44.87127755,1945.276683,2018.883431,2046.680025,2014.846671,2032.524436,1901.786986
10001300,457234.7434,4966615.391,-93.54120634,44.85166917,1978.023845,2052.710002,2083.090231,2057.292274,2066.42435,1936.077098
10001800,448964.4579,4969387.824,-93.64614213,44.87608149,1894.249261,1975.129019,2002.965962,1973.44199,1984.070211,1860.104555
10001900,449417.4961,4965063.183,-93.63997539,44.83718515,1871.011767,1948.67051,1977.400785,1942.872711,1960.223236,1834.339926
